iter	Accuracy	MultiClass
0	0.5092250923	1.59690871
1	0.5239852399	1.584304963
2	0.5535055351	1.57322488
3	0.5424354244	1.564367697
4	0.5608856089	1.553825577
5	0.5645756458	1.546083495
6	0.557195572	1.537171291
7	0.594095941	1.528476165
8	0.6014760148	1.519135284
9	0.5830258303	1.506968533
10	0.5719557196	1.497513401
11	0.5756457565	1.485960718
12	0.5719557196	1.477088019
13	0.5682656827	1.468428145
14	0.5867158672	1.459952076
15	0.5977859779	1.451823919
16	0.6051660517	1.442822229
17	0.6162361624	1.433641475
18	0.6014760148	1.423945645
19	0.6014760148	1.418338337
20	0.6088560886	1.411939157
21	0.594095941	1.403305813
22	0.5977859779	1.396116189
23	0.5977859779	1.38834057
24	0.6125461255	1.382104191
25	0.6014760148	1.3762542
26	0.6088560886	1.370329016
27	0.6014760148	1.364816804
28	0.5904059041	1.359224917
29	0.5904059041	1.353618954
30	0.5977859779	1.346716092
31	0.5904059041	1.341185485
32	0.594095941	1.337742803
33	0.5977859779	1.333183035
34	0.5977859779	1.327485638
35	0.5977859779	1.322728566
36	0.6014760148	1.316031126
37	0.594095941	1.310687397
38	0.594095941	1.305738912
39	0.594095941	1.301031345
40	0.594095941	1.297868352
41	0.5904059041	1.293840715
42	0.6088560886	1.289102121
43	0.6088560886	1.284045121
44	0.6125461255	1.279868315
45	0.6125461255	1.2760948
46	0.6088560886	1.271307267
47	0.6088560886	1.266965669
48	0.6162361624	1.26129239
49	0.6088560886	1.256691057
50	0.6088560886	1.253413852
51	0.6125461255	1.246985991
52	0.6162361624	1.243568908
53	0.6125461255	1.237337094
54	0.6162361624	1.234387975
55	0.6162361624	1.230747767
56	0.6125461255	1.227205031
57	0.6199261993	1.223099192
58	0.6199261993	1.219318308
59	0.6236162362	1.215520504
60	0.6236162362	1.211060553
61	0.6236162362	1.207227057
62	0.6199261993	1.203825043
63	0.6199261993	1.200257363
64	0.6199261993	1.195950513
65	0.6199261993	1.192614196
66	0.6236162362	1.187911691
67	0.6199261993	1.184730386
68	0.6236162362	1.180067916
69	0.6199261993	1.176172878
70	0.6199261993	1.17080804
71	0.6199261993	1.167452717
72	0.6236162362	1.164181094
73	0.63099631	1.160746304
74	0.6383763838	1.157687095
75	0.6273062731	1.153290861
76	0.6273062731	1.150451527
77	0.6236162362	1.146545376
78	0.6273062731	1.143895235
79	0.6273062731	1.140492505
80	0.63099631	1.136988472
81	0.6346863469	1.133606945
82	0.6346863469	1.130824662
83	0.6346863469	1.127591569
84	0.6383763838	1.124874461
85	0.6383763838	1.121480266
86	0.6420664207	1.119130406
87	0.6383763838	1.116021391
88	0.6420664207	1.113228864
89	0.6457564576	1.110191805
90	0.6383763838	1.107041612
91	0.6383763838	1.104488766
92	0.6383763838	1.101904873
93	0.6383763838	1.099378673
94	0.6420664207	1.096299892
95	0.6457564576	1.093632319
96	0.6494464945	1.090000469
97	0.6494464945	1.087450559
98	0.6494464945	1.085218554
99	0.6494464945	1.082600495
100	0.6494464945	1.08028255
101	0.6531365314	1.076074904
102	0.6531365314	1.073409912
103	0.6531365314	1.07179974
104	0.6531365314	1.068997781
105	0.6531365314	1.066561993
106	0.6531365314	1.063637467
107	0.6531365314	1.061455408
108	0.6531365314	1.059454149
109	0.6494464945	1.058292225
110	0.6568265683	1.055396742
111	0.6568265683	1.053273115
112	0.667896679	1.050313869
113	0.6715867159	1.047094977
114	0.6568265683	1.044382434
115	0.6568265683	1.041673916
116	0.667896679	1.039406758
117	0.6752767528	1.037414839
118	0.667896679	1.034807687
119	0.6752767528	1.031285507
120	0.6715867159	1.028741964
121	0.6826568266	1.025980696
122	0.6863468635	1.023346273
123	0.6863468635	1.021605362
124	0.6826568266	1.020085431
125	0.6863468635	1.016885601
126	0.6900369004	1.015261313
127	0.6937269373	1.012812541
128	0.6900369004	1.011264769
129	0.6863468635	1.008871267
130	0.6937269373	1.006113429
131	0.6974169742	1.003397208
132	0.6974169742	1.001369373
133	0.6974169742	0.9995206742
134	0.6863468635	0.9968504755
135	0.6863468635	0.9950819066
136	0.6937269373	0.9920575714
137	0.6937269373	0.9905327492
138	0.6937269373	0.9887400223
139	0.6900369004	0.9872594522
140	0.6937269373	0.9844602308
141	0.6974169742	0.9820769418
142	0.6937269373	0.980228888
143	0.6937269373	0.9786029006
144	0.7011070111	0.9767163233
145	0.7011070111	0.9746541367
146	0.7011070111	0.9724264114
147	0.704797048	0.969973682
148	0.7121771218	0.9670543211
149	0.7232472325	0.9645464932
150	0.7195571956	0.9633837197
151	0.7232472325	0.9617876376
152	0.7195571956	0.9597646784
153	0.7232472325	0.9573396207
154	0.7232472325	0.9552573697
155	0.7232472325	0.9535970541
156	0.7232472325	0.9514749949
157	0.7195571956	0.9503317583
158	0.7158671587	0.9482970737
159	0.7195571956	0.9465303491
160	0.7269372694	0.9449295177
161	0.7269372694	0.9436602678
162	0.7306273063	0.9410791856
163	0.7306273063	0.9395398598
164	0.7269372694	0.9379823081
165	0.7269372694	0.9368269745
166	0.7269372694	0.9353341491
167	0.7269372694	0.9336023847
168	0.7306273063	0.9306708964
169	0.7306273063	0.9288422582
170	0.7343173432	0.9269034897
171	0.7343173432	0.9251697141
172	0.7343173432	0.9237938212
173	0.7343173432	0.9221180563
174	0.7343173432	0.9202943181
175	0.7306273063	0.9193757176
176	0.7343173432	0.9177863753
177	0.7306273063	0.9161721139
178	0.7343173432	0.9145050744
179	0.7343173432	0.9140198764
180	0.7343173432	0.9135944386
181	0.7343173432	0.9120552142
182	0.7343173432	0.9102409557
183	0.7343173432	0.9086160437
184	0.7343173432	0.9075006512
185	0.7343173432	0.9060993565
186	0.7343173432	0.9041574534
187	0.7343173432	0.9029911923
188	0.7343173432	0.9018691134
189	0.7343173432	0.9002296417
190	0.7343173432	0.8990833355
191	0.7343173432	0.8978320475
192	0.7343173432	0.8966471975
193	0.7343173432	0.8947900971
194	0.7343173432	0.8938018783
195	0.7343173432	0.8921734619
196	0.7343173432	0.8911109532
197	0.7343173432	0.8899637559
198	0.7343173432	0.8886608562
199	0.7343173432	0.8870738911
200	0.7343173432	0.8864612878
201	0.7343173432	0.8852762147
202	0.7343173432	0.8841812892
203	0.7343173432	0.882856051
204	0.7343173432	0.8821365806
205	0.7343173432	0.8806232898
206	0.741697417	0.8788832422
207	0.741697417	0.8770073802
208	0.741697417	0.8758232447
209	0.741697417	0.8753930604
210	0.741697417	0.874367678
211	0.7380073801	0.8720470431
212	0.7380073801	0.8709235844
