iter	Passed	Remaining
0	46	24101
1	47	12162
2	47	8175
3	48	6174
4	48	4977
5	49	4175
6	49	3608
7	49	3179
8	50	2847
9	50	2578
10	51	2361
11	52	2191
12	52	2036
13	53	1905
14	53	1789
15	53	1688
16	54	1598
17	54	1519
18	55	1448
19	55	1384
20	56	1327
21	56	1273
22	57	1225
23	57	1181
24	57	1141
25	58	1103
26	58	1069
27	59	1035
28	59	1006
29	60	978
30	60	951
31	61	927
32	61	903
33	61	880
34	62	860
35	62	840
36	63	822
37	63	804
38	64	788
39	64	772
40	65	757
41	65	743
42	66	729
43	66	717
44	67	704
45	67	692
46	68	680
47	68	669
48	68	658
49	69	648
50	69	637
51	70	627
52	70	618
53	71	609
54	71	600
55	71	591
56	72	584
57	72	577
58	73	569
59	73	562
60	74	554
61	74	548
62	75	543
63	75	537
64	76	531
65	76	524
66	77	518
67	77	513
68	78	507
69	78	502
70	79	497
71	79	492
72	79	486
73	81	485
74	81	480
75	82	476
76	82	472
77	83	467
78	83	463
79	84	458
80	84	454
81	84	450
82	85	446
83	85	442
84	86	438
85	86	434
86	87	430
87	87	427
88	88	423
89	88	420
90	89	417
91	89	413
92	89	410
93	90	406
94	90	403
95	91	400
96	91	397
97	92	394
98	92	391
99	93	388
100	93	385
101	93	381
102	94	379
103	94	376
104	95	373
105	95	371
106	96	368
107	96	365
108	97	366
109	98	364
110	99	362
111	99	359
112	100	357
113	100	355
114	101	353
115	101	350
116	101	348
117	102	346
118	102	344
119	103	341
120	103	339
121	104	337
122	104	335
123	105	333
124	105	331
125	106	329
126	106	327
127	106	325
128	107	323
129	107	321
130	108	319
131	108	317
132	109	315
133	109	313
134	110	311
135	110	310
136	111	308
137	111	306
138	112	304
139	112	303
140	112	301
141	113	299
142	113	297
143	114	296
144	114	294
145	115	292
146	115	291
147	116	289
148	116	288
149	117	286
150	117	284
151	117	283
152	118	281
153	118	279
154	119	278
155	119	276
156	120	275
157	120	274
158	121	272
159	121	271
160	121	269
161	122	268
162	122	267
163	123	265
164	123	264
165	124	262
166	124	261
167	125	260
168	125	258
169	126	257
170	126	255
171	127	255
172	127	254
173	128	253
174	128	252
175	129	250
176	129	249
177	130	248
178	130	247
179	131	245
180	131	244
181	132	243
182	132	241
183	133	240
184	133	239
185	133	238
186	134	236
187	134	235
188	135	234
189	135	233
190	136	232
191	136	231
192	137	230
193	137	228
194	137	227
195	138	226
196	139	226
197	139	224
198	140	223
199	140	222
200	141	221
201	141	220
202	141	219
203	142	218
204	142	217
205	143	216
206	143	215
207	144	214
208	144	213
209	145	212
210	145	210
211	146	210
212	146	209
213	147	208
214	147	207
215	148	206
216	148	205
217	148	204
218	149	203
219	149	202
220	150	201
221	150	200
222	151	199
223	151	198
224	152	197
225	152	196
226	153	195
227	153	194
228	154	193
229	154	192
230	154	191
231	155	190
232	155	189
233	156	189
234	156	188
235	157	187
236	157	186
237	158	185
238	158	184
239	159	183
240	159	182
241	160	181
242	160	180
243	160	180
244	161	179
245	161	178
246	162	177
247	162	176
248	163	175
249	163	175
250	164	174
251	164	173
252	165	172
253	165	171
254	166	170
255	166	169
256	166	168
257	167	168
258	167	167
259	168	166
260	168	165
261	169	164
262	169	164
263	170	163
264	171	163
265	171	162
266	172	161
267	173	161
268	173	160
269	174	159
270	174	158
271	175	157
272	175	157
273	176	156
274	176	155
275	177	154
276	177	153
277	177	153
278	178	152
279	178	151
280	179	150
281	179	149
282	180	149
283	180	148
284	181	147
285	181	146
286	182	145
287	182	145
288	182	144
289	183	143
290	183	142
291	184	142
292	184	141
293	185	140
294	185	139
295	186	138
296	186	138
297	186	137
298	188	137
299	188	136
300	189	135
301	189	134
302	190	134
303	190	133
304	190	132
305	191	131
306	191	131
307	192	130
308	192	129
309	193	128
310	193	128
311	194	127
312	194	126
313	195	126
314	195	125
315	196	124
316	196	124
317	197	123
318	197	122
319	198	121
320	198	121
321	198	120
322	199	119
323	199	119
324	200	118
325	200	117
326	201	116
327	201	116
328	202	115
329	202	114
330	202	114
331	203	113
332	203	112
333	204	111
334	204	111
335	205	110
336	205	109
337	206	109
338	206	108
339	207	107
340	207	107
341	208	106
342	208	105
343	209	105
344	209	104
345	210	103
346	210	103
347	211	102
348	211	101
349	212	101
350	212	100
351	212	99
352	213	99
353	213	98
354	214	97
355	214	97
356	215	96
357	215	95
358	216	95
359	216	94
360	217	93
361	217	93
362	218	92
363	218	91
364	219	91
365	219	90
366	219	89
367	220	89
368	220	88
369	221	87
370	221	87
371	222	86
372	222	85
373	223	85
374	223	84
375	223	83
376	224	83
377	224	82
378	225	82
379	225	81
380	226	80
381	226	80
382	227	79
383	227	78
384	228	78
385	228	77
386	228	76
387	229	76
388	230	75
389	230	75
390	231	74
391	231	73
392	232	73
393	232	72
394	232	71
395	233	71
396	233	70
397	234	70
398	234	69
399	235	68
400	235	68
401	236	67
402	236	66
403	237	66
404	237	65
405	238	65
406	238	64
407	238	63
408	239	63
409	239	62
410	240	61
411	240	61
412	241	60
413	241	60
414	242	59
415	242	58
416	243	58
417	243	57
418	244	57
419	244	56
420	245	55
421	245	55
422	245	54
423	246	54
424	246	53
425	247	52
426	247	52
427	248	51
428	248	50
429	249	50
430	249	49
431	249	49
432	250	48
433	251	48
434	251	47
435	252	46
436	252	46
437	252	45
438	253	44
439	253	44
440	254	43
441	254	43
442	255	42
443	255	42
444	255	41
445	256	40
446	256	40
447	257	39
448	257	39
